44,440000,广东省
4403,440300,深圳市
440301,440301,市辖区
440303,440303,罗湖区
440304,440304,福田区
440305,440305,南山区
440306,440306,宝安区
440307,440307,龙岗区
440308,440308,盐田区
4401,440100,广州市
440103,440103,荔湾区
440104,440104,越秀区
440105,440105,海珠区
440106,440106,天河区
440111,440111,白云区
440112,440112,黄埔区
440113,440113,番禺区
440114,440114,花都区
440115,440115,南沙区
440116,440116,萝岗区
440183,440183,增城市
440184,440184,从化市
4402,440200,韶关市
440201,440201,市辖区
440203,440203,武江区
440204,440204,浈江区
440222,440222,始兴县
440224,440224,仁化县
440229,440229,翁源县
440232,440232,乳源瑶族自治县
440233,440233,新丰县
440281,440281,乐昌市
440282,440282,南雄市
4404,440400,珠海市
440401,440401,市辖区
440402,440402,香洲区
440403,440403,斗门区
440404,440404,金湾区
4405,440500,汕头市
440501,440501,市辖区
440507,440507,龙湖区
440511,440511,金平区
440512,440512,濠江区
440513,440513,潮阳区
440514,440514,潮南区
440515,440515,澄海区
440523,440523,南澳县
4406,440600,佛山市
440601,440601,市辖区
440604,440604,禅城区
440605,440605,南海区
440606,440606,顺德区
440607,440607,三水区
440608,440608,高明区
4407,440700,江门市
440701,440701,市辖区
440703,440703,蓬江区
440704,440704,江海区
440705,440705,新会区
440781,440781,台山市
440783,440783,开平市
440784,440784,鹤山市
440785,440785,恩平市
4408,440800,湛江市
440801,440801,市辖区
440802,440802,赤坎区
440803,440803,霞山区
440804,440804,坡头区
440811,440811,麻章区
440823,440823,遂溪县
440825,440825,徐闻县
440881,440881,廉江市
440882,440882,雷州市
440883,440883,吴川市
4409,440900,茂名市
440901,440901,市辖区
440902,440902,茂南区
440903,440903,茂港区
440923,440923,电白县
440981,440981,高州市
440982,440982,化州市
440983,440983,信宜市
440221,440221,曲江县
4413,441300,惠州市
441301,441301,市辖区
441302,441302,惠城区
441303,441303,惠阳区
441322,441322,博罗县
441323,441323,惠东县
441324,441324,龙门县
4414,441400,梅州市
441401,441401,市辖区
441402,441402,梅江区
441421,441421,梅县
441422,441422,大埔县
441423,441423,丰顺县
441424,441424,五华县
441425,441425,兴宁市
441426,441426,平远县
441427,441427,蕉岭县
4415,441500,汕尾市
441501,441501,市辖区
441502,441502,城区
441521,441521,海丰县
441523,441523,陆河县
441581,441581,陆丰市
4416,441600,河源市
441601,441601,市辖区
441602,441602,源城区
441621,441621,紫金县
441622,441622,龙川县
441623,441623,连平县
441624,441624,和平县
441625,441625,东源县
4417,441700,阳江市
441701,441701,市辖区
441702,441702,江城区
441721,441721,阳西县
441723,441723,阳东县
441733,441733,海陵区
441781,441781,阳春市
4418,441800,清远市
441801,441801,市辖区
441802,441802,清城区
441821,441821,佛冈县
441823,441823,阳山县
441825,441825,连山壮族瑶族自治县
441826,441826,连南瑶族自治县
441827,441827,清新县
441881,441881,英德市
441882,441882,连州市
4419,441900,东莞市
4420,442000,中山市
442001,442001,市辖区
4428,442800,肇庆市
442801,442801,高要市
442802,442802,四会市
442803,442803,广宁县
442804,442804,怀集县
442805,442805,封开县
442806,442806,德庆县
442807,442807,端州区
442808,442808,鼎湖区
442809,442809,市辖区
4451,445100,潮州市
445101,445101,市辖区
445102,445102,湘桥区
445121,445121,潮安县
445122,445122,饶平县
4452,445200,揭阳市
445201,445201,市辖区
445202,445202,榕城区
445221,445221,揭东县
445222,445222,揭西县
445224,445224,惠来县
445281,445281,普宁市
4453,445300,云浮市
445301,445301,市辖区
445302,445302,云城区
445321,445321,新兴县
445322,445322,郁南县
445323,445323,云安县
445381,445381,罗定市
11,110000,北京市
1101,110100,市辖区
110101,110101,东城区
110102,110102,西城区
110103,110103,崇文区
110104,110104,宣武区
110105,110105,朝阳区
110106,110106,丰台区
110107,110107,石景山区
110108,110108,海淀区
110109,110109,门头沟区
110111,110111,房山区
110112,110112,通州区
110113,110113,顺义区
110114,110114,昌平区
110115,110115,大兴区
110116,110116,怀柔区
110117,110117,平谷区
1102,110200,县
110228,110228,密云县
110229,110229,延庆县
12,120000,天津市
1201,120100,市辖区
120101,120101,和平区
120102,120102,河东区
120103,120103,河西区
120104,120104,南开区
120105,120105,河北区
120106,120106,红桥区
120107,120107,塘沽区
120108,120108,汉沽区
120109,120109,大港区
120110,120110,东丽区
120111,120111,西青区
120112,120112,津南区
120113,120113,北辰区
120114,120114,武清区
120115,120115,宝坻区
1202,120200,县
120221,120221,宁河县
120223,120223,静海县
120225,120225,蓟县
13,130000,河北省
1301,130100,石家庄市
130102,130102,长安区
130103,130103,桥东区
130104,130104,桥西区
130105,130105,新华区
130107,130107,井陉矿区
130108,130108,裕华区
130121,130121,井陉县
130123,130123,正定县
130124,130124,栾城县
130125,130125,行唐县
130126,130126,灵寿县
130127,130127,高邑县
130128,130128,深泽县
130129,130129,赞皇县
130130,130130,无极县
130131,130131,平山县
130132,130132,元氏县
130133,130133,赵县
130181,130181,辛集市
130182,130182,藁城市
130183,130183,晋州市
130184,130184,新乐市
130185,130185,鹿泉市
1302,130200,唐山市
130201,130201,市辖区
130202,130202,路南区
130203,130203,路北区
130204,130204,古冶区
130205,130205,开平区
130207,130207,丰南区
130208,130208,丰润区
130223,130223,滦县
130224,130224,滦南县
130225,130225,乐亭县
130227,130227,迁西县
130229,130229,玉田县
130230,130230,唐海县
130281,130281,遵化市
130283,130283,迁安市
1303,130300,秦皇岛市
130301,130301,市辖区
130302,130302,海港区
130303,130303,山海关区
130304,130304,北戴河区
130321,130321,青龙满族自治县
130322,130322,昌黎县
130323,130323,抚宁县
130324,130324,卢龙县
1304,130400,邯郸市
130401,130401,市辖区
130402,130402,邯山区
